Domain,Phylum,Genome Count,Soi mic 454 2065487018 (MER-FS) (assembled) Estimated Gene Copies,Soi mic 454 2065487018 (MER-FS) (assembled)   &#37; ,Soi mic 454 2067725001 (MER-FS) (assembled) Estimated Gene Copies,Soi mic 454 2067725001 (MER-FS) (assembled)   &#37; ,Soi mic 454 2067725002 (MER-FS) (assembled) Estimated Gene Copies,Soi mic 454 2067725002 (MER-FS) (assembled)   &#37; ,Soi mic Con 2067725004 (MER-FS) (assembled) Estimated Gene Copies,Soi mic Con 2067725004 (MER-FS) (assembled)   &#37; ,Soi mic Pre 2070309009 (MER-FS) (assembled) Estimated Gene Copies,Soi mic Pre 2070309009 (MER-FS) (assembled)   &#37; ,Soi mic asy 2088090014 (MER-FS) (assembled) Estimated Gene Copies,Soi mic asy 2088090014 (MER-FS) (assembled)   &#37; ,Soi mic asy 2088090015 (MER-FS) (assembled) Estimated Gene Copies,Soi mic asy 2088090015 (MER-FS) (assembled)   &#37; ,Soi mic gai 2228664021 (MER-FS) (assembled) Estimated Gene Copies,Soi mic gai 2228664021 (MER-FS) (assembled)   &#37; ,Soi mic gai 2228664022 (MER-FS) (assembled) Estimated Gene Copies,Soi mic gai 2228664022 (MER-FS) (assembled)   &#37; ,Soi mic gai 3300000033 (MER-FS) (assembled) Estimated Gene Copies,Soi mic gai 3300000033 (MER-FS) (assembled)   &#37; ,Soi mic gai 3300000363 (MER-FS) (assembled) Estimated Gene Copies,Soi mic gai 3300000363 (MER-FS) (assembled)   &#37; ,Soi mic gai 3300000364 (MER-FS) (assembled) Estimated Gene Copies,Soi mic gai 3300000364 (MER-FS) (assembled)   &#37; ,Soi mic gai 3300000787 (MER-FS) (assembled) Estimated Gene Copies,Soi mic gai 3300000787 (MER-FS) (assembled)   &#37; ,Soi mic gai 3300000789 (MER-FS) (assembled) Estimated Gene Copies,Soi mic gai 3300000789 (MER-FS) (assembled)   &#37; ,Soi mic Vet 3300000858 (MER-FS) (assembled) Estimated Gene Copies,Soi mic Vet 3300000858 (MER-FS) (assembled)   &#37; ,Soi mic Vet 3300000890 (MER-FS) (assembled) Estimated Gene Copies,Soi mic Vet 3300000890 (MER-FS) (assembled)   &#37; ,Soi mic Vet 3300000891 (MER-FS) (assembled) Estimated Gene Copies,Soi mic Vet 3300000891 (MER-FS) (assembled)   &#37; ,Soi mic Vet 3300000953 (MER-FS) (assembled) Estimated Gene Copies,Soi mic Vet 3300000953 (MER-FS) (assembled)   &#37; ,Soi mic Vet 3300000955 (MER-FS) (assembled) Estimated Gene Copies,Soi mic Vet 3300000955 (MER-FS) (assembled)   &#37; ,Soi mic Vet 3300000956 (MER-FS) (assembled) Estimated Gene Copies,Soi mic Vet 3300000956 (MER-FS) (assembled)   &#37; 
Archaea,Aigarchaeota,8,17,0,21,0,11,0,53,0.01,35,0,8,0,8,0,70,0,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Archaea,Candidatus Aenigmarchaeota,1,5,0,11,0,3,0,22,0,23,0,5,0,5,0,20,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Archaea,Candidatus Bathyarchaeota,6,33,0.01,62,0.01,46,0.01,127,0.01,110,0.01,28,0.01,36,0.01,211,0.01,185,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Archaea,Candidatus Korarchaeota,1,4,0,7,0,7,0,19,0,12,0,8,0,7,0,33,0,23,0,196,0.01,6476,0.02,7006,0.01,4288,0.02,199,0,14215,0.02,7846,0.01,6116,0.01,593,0.01,10500,0.01,1775,0.01
Archaea,Candidatus Micrarchaeota,26,19,0,32,0.01,21,0,61,0.01,59,0.01,15,0,10,0,90,0.01,74,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Archaea,Candidatus Parvarchaeota,7,2,0,0,0,1,0,6,0,3,0,1,0,0,0,6,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Archaea,Crenarchaeota,92,125,0.03,173,0.04,130,0.03,366,0.04,334,0.03,78,0.02,77,0.02,654,0.04,533,0.04,2895,0.09,52366,0.14,68734,0.11,46128,0.2,2277,0.05,174722,0.26,99187,0.11,78207,0.13,7182,0.13,170997,0.09,22155,0.07
Archaea,Diapherotrites,2,10,0,8,0,3,0,16,0,16,0,6,0,1,0,25,0,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Archaea,Euryarchaeota,436,1376,0.31,1881,0.43,1458,0.34,4082,0.43,3966,0.37,1259,0.32,852,0.24,5193,0.35,5085,0.35,25520,0.83,310185,0.85,487477,0.75,265776,1.18,20379,0.49,949776,1.4,623690,0.7,551133,0.95,43456,0.81,1506487,0.77,188529,0.59
Archaea,Geoarchaeota,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17142,0.08,379,0.01,60047,0.09,32120,0.04,21250,0.04,2098,0.04,43867,0.02,3724,0.01
Archaea,Nanoarchaeota,3,0,0,0,0,1,0,4,0,3,0,0,0,3,0,6,0,2,0,5,0,229,0,132,0,185,0,5,0,888,0,623,0,234,0,32,0,282,0,51,0
