Function.ID	Name	IowaCorn1	IowaCorn2	IowaCorn3	IowaCorn4	IowaCorn5	IowaCorn6	IowaCorn7	IowaNative Prairie10	IowaNative Prairie11	IowaNative Prairie12	IowaNative Prairie13	IowaNative Prairie8	IowaNative Prairie9	KansasCorn14	KansasCorn15	KansasNative Prairie16	KansasNative Prairie17	WisconsinCorn20	WisconsinNative Prairie18	WisconsinNative Prairie19
COG1203	CRISPR/Cas system-associated endonuclease/helicase Cas3	6.25656380577838e-05	9.11900785194571e-05	7.41858107272682e-05	4.35368522447669e-05	5.43855632889859e-05	0.000137855129822845	6.95895621009892e-05	8.67788876732404e-05	2.83938856606618e-05	0.000129648573312316	3.8845326251886e-05	2.37464261628625e-05	4.58572555349707e-06	1.73719308684011e-05	9.61645400366429e-06	1.69735740311861e-05	1.34035671448065e-05	6.94928453027946e-06	9.18362192865244e-06	1.77845754377229e-05
COG1332	CRISPR/Cas system CSM-associated protein Csm5, group 7 of RAMP superfamily	0	0	6.9240090012117e-06	2.72105326529793e-06	1.26478054160432e-06	1.11173491792617e-05	4.01478242890322e-06	8.64998558800788e-06	4.25908284909928e-06	1.58108016234531e-05	5.4812423545606e-06	0	0	4.34298271710028e-06	3.76296026230342e-06	0	2.57506954998745e-06	2.45268865774569e-06	4.59181096432622e-06	3.95212787504953e-06
COG1336	CRISPR/Cas system CMR subunit Cmr4, Cas7 group, RAMP superfamily	0	0	4.94572071515122e-06	1.36052663264897e-06	0	1.11173491792617e-05	2.67652161926881e-06	1.03241763469772e-05	0	1.73918817857984e-05	7.14944654942686e-06	0	9.17145110699415e-06	2.17149135855014e-06	4.18106695811491e-06	1.88595267013179e-06	3.43342606664993e-06	2.45268865774569e-06	0	1.97606393752476e-06
COG1337	CRISPR/Cas system CSM-associated protein Csm3, group 7 of RAMP superfamily	0	3.35963447176947e-05	9.2320120016156e-06	6.80263316324483e-06	8.85346379123026e-06	1.3340819015114e-05	1.53899993107957e-05	2.59499567640237e-05	7.09847141516546e-06	3.87364639774601e-05	1.09624847091212e-05	4.7492852325725e-06	0	4.34298271710028e-06	4.5991736539264e-06	1.88595267013179e-06	3.76356318844319e-06	2.04390721478808e-06	0	6.91622378133667e-06
COG1343	CRISPR/Cas system-associated endoribonuclease Cas2	4.46897414698456e-06	9.59895563362706e-06	1.54965915741405e-05	1.29250030101652e-05	1.39125859576476e-05	3.89107221274159e-05	1.00369560722581e-05	2.14854480734389e-05	8.51816569819855e-06	3.55743036527695e-05	1.00092251691976e-05	2.37464261628625e-05	9.17145110699415e-06	4.34298271710028e-06	2.50864017486894e-06	3.77190534026358e-06	2.57506954998745e-06	2.04390721478808e-06	0	3.95212787504953e-06
COG1353	CRISPR/Cas system-associated protein Cas10, large subunit of type III CRISPR-Cas systems, contains HD superfamily nuclease domain	0	1.91979112672541e-05	1.41777327167668e-05	4.76184321427138e-06	3.79434162481297e-06	1.44525539330402e-05	6.69130404817204e-06	2.62289885571852e-05	5.67877713213237e-06	3.47837635715968e-05	1.40605782138728e-05	4.7492852325725e-06	4.58572555349707e-06	1.08574567927507e-05	1.37975209617792e-05	3.77190534026358e-06	9.37589425892866e-06	8.58441030210993e-06	0	4.94015984381191e-06
COG1367	CRISPR/Cas system CMR-associated protein Cmr1, group 7 of RAMP superfamily	0	0	4.28629128646439e-06	0	0	5.55867458963085e-06	3.34565202408602e-06	8.64998558800788e-06	1.41969428303309e-06	1.97635020293164e-05	5.4812423545606e-06	0	9.17145110699415e-06	4.34298271710028e-06	3.76296026230342e-06	0	3.10328894485667e-06	2.45268865774569e-06	0	2.96409590628714e-06
COG1421	CRISPR/Cas system CSM-associated protein Csm2, small subunit	0	9.59895563362706e-06	2.3080030004039e-06	2.72105326529793e-06	1.26478054160432e-06	4.44693967170468e-06	2.67652161926881e-06	3.62741331110008e-06	4.25908284909928e-06	5.53378056820859e-06	1.66820419486627e-06	0	0	0	1.25432008743447e-06	0	9.90411365379788e-07	1.22634432887285e-06	0	1.97606393752476e-06
COG1468	CRISPR/Cas system-associated exonuclease Cas4, RecB family	1.78758965879382e-05	5.27942559849488e-05	6.49537987256526e-05	3.87750090304955e-05	2.90899524568994e-05	9.78326727775029e-05	3.47947810504946e-05	5.30160407006935e-05	1.70363313963971e-05	8.93310291725101e-05	2.57380075779367e-05	1.899714093029e-05	0	2.38864049440515e-05	1.92329080073286e-05	2.26314320415815e-05	2.17230226139967e-05	2.49356680204145e-05	2.29590548216311e-05	3.26050549691586e-05
COG1517	CRISPR/Cas system-associated protein Csx1, contains CARF domain	0	0	3.29714714343414e-06	0	1.26478054160432e-06	3.33520475377851e-06	2.67652161926881e-06	2.79031793161545e-06	1.41969428303309e-06	5.53378056820859e-06	2.85977861977075e-06	0	0	0	8.36213391622982e-07	0	2.04685015511823e-06	2.04390721478808e-06	0	1.97606393752476e-06
