Phylum	Domain.x	IowaCorn1	IowaCorn2	IowaCorn3	IowaCorn4	IowaCorn5	IowaCorn6	IowaCorn7	IowaNative Prairie10	IowaNative Prairie11	IowaNative Prairie12	IowaNative Prairie13	IowaNative Prairie8	IowaNative Prairie9	KansasCorn14	KansasCorn15	KansasNative Prairie16	KansasNative Prairie17	WisconsinCorn20	WisconsinNative Prairie18	WisconsinNative Prairie19
Acetothermia	Bacteria	0	0	0	0	0	0	0	0	0	0	0	0	0.01	0	0	0	0	0	0	0
Acidobacteria	Bacteria	4.65	6.13	6.82	3.79	5.8	8.06	4.41	11.37	9.8	6.74	8.71	5.78	11.42	7.17	6.85	5.73	4.11	7.86	4.84	2.36
Actinobacteria	Bacteria	23.59	19.91	21.84	13.18	17.86	12.37	24.15	9.1	6.6	3.06	6.79	13.03	4.01	18.1	9.73	25.78	17.6	18.01	28.54	46.69
Actinobacteria	GFragment:Bacteria	0.01	0.01	0	0	0.01	0	0	0	0.01	0	0	0.01	0.01	0.01	0	0.02	0	0	0.02	0
Actinobacteria	Plasmid:Bacteria	0	0	0.04	0.02	0	0.03	0.02	0.01	0	0.01	0.01	0	0	0	0	0	0.01	0.01	0	0.02
Aerophobetes	Bacteria	0.02	0.02	0	0	0.02	0	0	0	0.03	0	0	0.02	0.03	0.03	0	0.02	0	0	0.02	0
Aigarchaeota	Archaea	0	0	0	0	0	0	0	0	0	0	0	0	0	0.01	0	0	0	0	0	0
Aminicenantes	Bacteria	0.05	0.04	0	0	0.07	0	0	0	0.07	0	0	0.05	0.06	0.07	0	0.06	0	0	0.06	0
Annelida	Eukaryota	0	0	0	0	0.01	0.03	0.02	0	0	0.01	0.02	0	0	0	0.01	0	0.01	0.02	0	0.02
Apicomplexa	Eukaryota	0	0.01	0.01	0.02	0	0.01	0.02	0.01	0	0.01	0.02	0	0	0	0.01	0	0.01	0.01	0	0.02
Aquificae	Bacteria	0.04	0.03	0.13	0.26	0.05	0.12	0.09	0.13	0.05	0.06	0.13	0.04	0.03	0.06	0.14	0.04	0.1	0.17	0.04	0.14
Armatimonadetes	Bacteria	0.09	0.05	0	0	0.07	0	0	0	0.11	0	0	0.12	0.11	0.19	0	0.11	0	0	0.1	0
Arthropoda	Eukaryota	0.02	0.03	0.1	0.16	0.05	0.27	0.17	0.06	0.01	0.04	0.08	0.02	0.01	0.02	0.06	0.02	0.06	0.07	0.02	0.09
Ascomycota	Eukaryota	0.04	0.02	0.13	0.29	0.02	0.15	0.13	2	0.57	2.81	1.01	0.33	0.05	0.05	0.12	0.07	0.13	0.14	0.1	0.24
Ascomycota	GFragment:Eukaryota	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ascomycota	Plasmid:Eukaryota	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Atribacteria	Bacteria	0.01	0.01	0	0	0.02	0	0	0	0.02	0	0	0.02	0.02	0.02	0	0.01	0	0	0.01	0
Bacillariophyta	Eukaryota	0	0	0.01	0.03	0	0.01	0.01	0.01	0	0.01	0.01	0	0	0.01	0.01	0	0.01	0.01	0	0.01
Bacteroidetes	Bacteria	1.89	4.37	5.29	3.79	3.96	10.27	4.7	5.04	2.84	4.64	3.96	1.69	2.18	2.53	4.43	2.17	3.56	3.34	1.86	2.53
Bacteroidetes	GFragment:Bacteria	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteroidetes	Plasmid:Bacteria	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Balneolaeota	Bacteria	0.03	0.04	0	0	0.04	0	0	0	0.03	0	0	0.03	0.04	0.03	0	0.03	0	0	0.02	0
Basidiomycota	Eukaryota	0.01	0	0.02	0.04	0.01	0.05	0.04	0.09	0.03	0.18	0.1	0.05	0.01	0.02	0.04	0.01	0.04	0.05	0.11	0.76
Basidiomycota	Plasmid:Eukaryota	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Blastocladiomycota	Eukaryota	0	0	0	0	0	0.01	0.01	0	0	0	0.01	0	0	0	0.01	0	0.01	0.01	0	0.01
BRC1	Bacteria	0.03	0.02	0	0	0.02	0	0	0	0.04	0	0	0.04	0.04	0.04	0	0.03	0	0	0.03	0
Caldiserica	Bacteria	0	0	0	0	0	0.02	0.01	0	0	0.01	0.01	0	0	0	0.01	0	0.01	0.01	0	0.02
Calditrichaeota	Bacteria	0.02	0.03	0	0	0.03	0	0	0	0.03	0	0	0.02	0.03	0.04	0	0.03	0	0	0.02	0
Calescamantes	Bacteria	0	0	0	0	0.01	0	0	0	0.01	0	0	0.01	0.01	0.01	0	0.01	0	0	0	0
candidate division NC10	Bacteria	0.1	0.13	0	0	0.15	0	0	0	0.24	0	0	0.17	0.21	0.13	0	0.08	0	0	0.09	0
Candidatus Acetothermia	Bacteria	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Candidatus Aenigmarchaeota	Archaea	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Candidatus Atribacteria	Bacteria	0.01	0.01	0	0	0.01	0	0	0	0.01	0	0	0.01	0.01	0.01	0	0.01	0	0	0.01	0
Candidatus Bathyarchaeota	Archaea	0.01	0.01	0	0	0.01	0	0	0	0.01	0	0	0.01	0.01	0.01	0	0.01	0	0	0.01	0
Candidatus Cloacimonetes	Bacteria	0	0	0.02	0.01	0	0.02	0.01	0.02	0	0.01	0	0	0	0	0	0	0	0.02	0	0.01
Candidatus Korarchaeota	Archaea	0	0	0.02	0.01	0	0.02	0.01	0.01	0	0	0.01	0	0	0	0.01	0	0.01	0.01	0	0.02
Candidatus Marinimicrobia	Bacteria	0.01	0.01	0	0	0.02	0	0	0	0.01	0	0	0.01	0.01	0.02	0	0.01	0	0	0.01	0
